#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 338000      1.20e+00      1.32e-01      4.73e-02      5.34e-02    3.1e-04
 340000      1.10e+01      3.86e-02      6.18e-01      1.81e-01    3.1e-04
 342000      1.31e+00      3.86e-02      6.50e-02      5.42e-02    3.1e-04
 344000      5.97e+00      1.44e-02      3.12e-01      2.12e-01    3.1e-04
 346000      2.41e+00      7.62e-02      1.34e-01      3.51e-02    3.1e-04
 348000      9.91e+00      4.06e-02      5.61e-01      1.86e-01    3.0e-04
 350000      1.43e+00      4.37e-02      7.71e-02      4.26e-02    3.0e-04
 352000      3.89e+00      1.33e-01      1.10e-01      4.36e-01    3.0e-04
 354000      1.08e+01      4.90e-02      5.90e-01      4.51e-01    3.0e-04
 356000      3.92e+00      1.91e-02      1.84e-01      2.14e-01    3.0e-04
 358000      5.37e+00      6.43e-02      2.91e-01      2.66e-01    2.9e-04
 360000      8.24e+00      4.86e-02      4.69e-01      1.72e-01    2.9e-04
 362000      9.21e+00      4.37e-02      5.36e-01      1.48e-01    2.9e-04
 364000      3.68e+00      1.30e-01      1.82e-01      2.56e-01    2.9e-04
 366000      5.97e+00      8.95e-03      3.43e-01      1.28e-01    2.9e-04
 368000      1.08e+01      4.41e-02      6.34e-01      2.29e-01    2.8e-04
 370000      2.70e+00      1.03e-01      1.47e-01      9.21e-02    2.8e-04
 372000      8.57e+00      2.66e-02      5.05e-01      1.75e-01    2.8e-04
 374000      9.54e+00      4.75e-02      5.32e-01      3.25e-01    2.8e-04
 376000      8.04e+00      1.95e-01      4.65e-01      1.85e-01    2.8e-04
 378000      6.19e+00      3.72e-02      3.63e-01      1.36e-01    2.7e-04
 380000      3.27e+00      2.33e-02      1.89e-01      9.21e-02    2.7e-04
 382000      8.77e+00      5.63e-02      5.29e-01      1.20e-01    2.7e-04
 384000      9.62e+00      8.10e-03      5.71e-01      2.05e-01    2.7e-04
 386000      1.07e+01      2.39e-02      6.48e-01      1.44e-01    2.7e-04
 388000      7.82e+00      3.08e-02      4.73e-01      1.74e-01    2.7e-04
 390000      7.58e+00      4.67e-02      4.59e-01      1.84e-01    2.6e-04
 392000      2.07e+00      1.67e-02      1.21e-01      6.33e-02    2.6e-04
 394000      4.85e+00      4.12e-02      2.93e-01      1.39e-01    2.6e-04
 396000      5.13e+00      5.47e-02      2.35e-01      4.76e-01    2.6e-04
 398000      4.68e+00      1.49e-02      2.75e-01      1.49e-01    2.6e-04
 400000      3.29e+00      3.72e-02      1.59e-01      2.02e-01    2.5e-04
 402000      2.41e+00      5.61e-02      1.37e-01      9.52e-02    2.5e-04
 404000      7.03e+00      3.60e-02      4.13e-01      2.49e-01    2.5e-04
 406000      4.58e+00      8.73e-02      2.62e-01      2.68e-01    2.5e-04
 408000      1.16e+00      1.45e-02      6.51e-02      5.26e-02    2.5e-04
 410000      2.36e+00      1.72e-01      1.28e-01      8.72e-02    2.5e-04
 412000      8.37e+00      1.04e-01      5.30e-01      1.01e-01    2.4e-04
 414000      2.50e+00      5.44e-02      1.59e-01      1.36e-02    2.4e-04
 416000      8.12e+00      2.07e-02      5.17e-01      1.68e-01    2.4e-04
 418000      2.92e+00      1.52e-02      1.82e-01      7.53e-02    2.4e-04
 420000      8.73e+00      6.29e-02      5.61e-01      1.30e-01    2.4e-04
 422000      1.07e+01      7.93e-02      6.86e-01      1.89e-01    2.4e-04
 424000      2.38e+00      1.04e-01      1.49e-01      4.52e-02    2.3e-04
 426000      1.13e+00      2.54e-02      6.15e-02      1.26e-01    2.3e-04
 428000      2.34e+00      6.79e-03      1.44e-01      8.18e-02    2.3e-04
 430000      7.68e+00      3.18e-02      5.00e-01      1.57e-01    2.3e-04
 432000      1.92e+00      1.38e-02      5.60e-02      1.74e-01    2.3e-04
 434000      1.75e+00      2.21e-02      1.07e-01      6.75e-02    2.3e-04
 436000      8.89e+00      1.78e-02      5.12e-01      6.38e-01    2.3e-04
 438000      1.71e+00      7.71e-03      1.05e-01      6.85e-02    2.2e-04
 440000      1.96e+00      3.11e-02      1.26e-01      5.55e-02    2.2e-04
 442000      1.16e+00      1.89e-02      7.51e-02      3.07e-02    2.2e-04
 444000      8.15e+00      4.03e-02      5.47e-01      7.84e-02    2.2e-04
 446000      3.49e+00      2.21e-02      2.23e-01      1.67e-01    2.2e-04
 448000      2.74e+00      3.25e-02      1.85e-01      3.30e-02    2.2e-04
 450000      8.92e+00      9.40e-02      6.03e-01      1.57e-01    2.1e-04
 452000      2.98e+00      1.47e-01      1.99e-01      5.74e-02    2.1e-04
 454000      1.71e+00      2.41e-02      1.12e-01      4.95e-02    2.1e-04
 456000      4.18e+00      4.13e-02      2.79e-01      2.14e-01    2.1e-04
 458000      8.22e+00      3.95e-02      5.47e-01      2.30e-01    2.1e-04
 460000      6.87e+00      1.95e-02      4.68e-01      1.80e-01    2.1e-04
 462000      6.43e+00      6.93e-03      4.40e-01      1.13e-01    2.1e-04
 464000      7.22e+00      3.83e-02      4.93e-01      2.19e-01    2.0e-04
 466000      2.36e+00      1.45e-02      1.27e-01      1.59e-01    2.0e-04
 468000      4.68e+00      4.62e-02      3.21e-01      1.01e-01    2.0e-04
 470000      2.36e+00      2.99e-03      1.18e-01      2.49e-01    2.0e-04
 472000      7.99e+00      2.88e-02      5.35e-01      3.85e-01    2.0e-04
 474000      6.07e+00      6.15e-02      4.25e-01      1.48e-01    2.0e-04
 476000      1.74e+00      1.34e-02      9.37e-02      1.71e-01    2.0e-04
 478000      3.69e+00      9.86e-02      2.55e-01      1.30e-01    2.0e-04
 480000      3.15e+00      9.02e-02      2.09e-01      1.18e-01    1.9e-04
 482000      2.33e+00      9.53e-03      1.58e-01      8.29e-02    1.9e-04
 484000      8.54e+00      6.04e-02      6.11e-01      1.70e-01    1.9e-04
 486000      6.85e+00      8.86e-03      4.90e-01      1.61e-01    1.9e-04
 488000      2.09e+00      4.72e-02      1.48e-01      4.61e-02    1.9e-04
 490000      1.45e+00      9.09e-02      9.74e-02      3.51e-02    1.9e-04
 492000      7.70e-01      5.12e-02      4.98e-02      2.65e-02    1.9e-04
 494000      1.32e+00      1.16e-01      7.41e-02      6.54e-02    1.8e-04
 496000      8.90e+00      1.21e-01      6.49e-01      2.77e-01    1.8e-04
 498000      4.22e+00      1.17e-01      3.06e-01      1.05e-01    1.8e-04
 500000      2.28e+00      8.85e-02      1.51e-01      1.01e-01    1.8e-04
 502000      1.77e+00      3.97e-02      1.13e-01      9.62e-02    1.8e-04
 504000      3.15e+00      1.53e-01      2.22e-01      7.65e-02    1.8e-04
 506000      1.30e+00      3.89e-02      9.33e-02      3.50e-02    1.8e-04
 508000      6.17e+00      4.37e-02      4.61e-01      1.16e-01    1.8e-04
 510000      4.56e+00      5.55e-02      2.66e-01      4.51e-01    1.7e-04
 512000      7.75e+00      6.05e-02      5.85e-01      8.82e-02    1.7e-04
 514000      2.50e+00      8.80e-04      1.53e-01      1.65e-01    1.7e-04
 516000      4.66e+00      1.64e-02      3.15e-01      3.37e-01    1.7e-04
 518000      1.66e+00      2.07e-02      1.23e-01      4.41e-02    1.7e-04
 520000      3.58e+00      5.56e-02      2.45e-01      2.53e-01    1.7e-04
 522000      5.79e+00      3.54e-02      4.41e-01      1.35e-01    1.7e-04
 524000      5.27e+00      5.50e-02      3.59e-01      3.93e-01    1.7e-04
 526000      3.52e+00      7.75e-02      2.56e-01      1.31e-01    1.7e-04
 528000      8.16e+00      4.90e-03      6.27e-01      1.46e-01    1.6e-04
 530000      5.58e+00      4.19e-02      4.06e-01      2.26e-01    1.6e-04
 532000      4.54e+00      2.36e-02      3.36e-01      1.68e-01    1.6e-04
 534000      6.15e+00      1.05e-02      4.78e-01      1.40e-01    1.6e-04
 536000      8.46e+00      4.78e-02      6.53e-01      1.96e-01    1.6e-04
 538000      8.98e+00      3.50e-02      6.65e-01      3.58e-01    1.6e-04
 540000      4.31e+00      1.09e-02      3.20e-01      1.71e-01    1.6e-04
 542000      2.35e+00      8.42e-03      1.81e-01      9.21e-02    1.6e-04
 544000      8.03e+00      2.11e-02      6.31e-01      1.67e-01    1.6e-04
 546000      3.43e+00      9.91e-03      2.27e-01      2.22e-01    1.5e-04
 548000      2.52e+00      8.65e-02      1.49e-01      1.89e-01    1.5e-04
 550000      1.64e+00      1.96e-03      1.14e-01      9.47e-02    1.5e-04
 552000      2.99e+00      6.11e-02      2.37e-01      9.22e-02    1.5e-04
 554000      5.60e+00      3.11e-03      4.17e-01      3.67e-01    1.5e-04
 556000      5.98e+00      4.36e-02      4.71e-01      1.78e-01    1.5e-04
 558000      2.50e+00      8.09e-02      1.72e-01      1.49e-01    1.5e-04
 560000      7.70e+00      1.41e-01      6.16e-01      3.96e-01    1.5e-04
 562000      8.18e+00      1.37e-02      6.70e-01      9.99e-02    1.5e-04
 564000      7.73e-01      2.12e-02      6.10e-02      2.34e-02    1.5e-04
 566000      6.50e+00      4.47e-02      5.30e-01      1.39e-01    1.4e-04
 568000      6.07e+00      2.25e-02      4.93e-01      2.16e-01    1.4e-04
 570000      1.82e+00      2.20e-02      8.90e-02      1.72e-01    1.4e-04
