#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 260000      5.15e-01      1.63e-02      2.22e-02      1.94e-02    4.1e-04
 262000      2.17e-01      1.00e-02      7.58e-03      7.56e-03    4.1e-04
 264000      1.91e-01      1.80e-02      4.18e-03      1.49e-02    4.1e-04
 266000      1.22e-01      1.37e-02      5.13e-03      9.52e-03    4.0e-04
 268000      2.20e-01      4.90e-04      6.39e-03      1.48e-02    4.0e-04
 270000      2.37e-01      1.73e-02      5.66e-03      1.60e-02    4.0e-04
 272000      1.78e-01      3.02e-03      5.14e-03      1.20e-02    3.9e-04
 274000      1.63e+00      1.49e-02      7.97e-02      3.34e-02    3.9e-04
 276000      2.47e-01      5.74e-03      1.02e-02      7.67e-03    3.9e-04
 278000      2.04e-01      6.09e-03      9.10e-03      4.98e-03    3.9e-04
 280000      1.54e-01      6.66e-03      5.58e-03      8.71e-03    3.8e-04
 282000      2.85e-01      5.83e-03      1.40e-02      7.18e-03    3.8e-04
 284000      3.61e-01      2.82e-03      1.57e-02      1.07e-02    3.8e-04
 286000      3.52e-01      5.21e-03      1.73e-02      9.96e-03    3.8e-04
 288000      3.61e-01      1.90e-03      1.75e-02      1.23e-02    3.7e-04
 290000      3.81e-01      2.97e-03      1.60e-02      1.90e-02    3.7e-04
 292000      2.24e-01      9.56e-04      7.81e-03      1.42e-02    3.7e-04
 294000      1.59e-01      6.10e-03      3.73e-03      1.19e-02    3.7e-04
 296000      1.33e+00      1.94e-02      6.79e-02      2.54e-02    3.6e-04
 298000      2.17e-01      4.74e-03      9.83e-03      9.27e-03    3.6e-04
 300000      1.62e+00      4.39e-03      8.35e-02      2.89e-02    3.6e-04
 302000      1.59e+00      2.13e-02      8.11e-02      3.36e-02    3.6e-04
 304000      3.97e-01      1.10e-03      2.00e-02      1.07e-02    3.5e-04
 306000      9.86e-02      2.73e-03      4.90e-03      2.89e-03    3.5e-04
 308000      1.89e+00      1.42e-02      9.64e-02      4.87e-02    3.5e-04
 310000      1.62e+00      3.52e-03      8.40e-02      3.68e-02    3.5e-04
 312000      1.56e-01      2.29e-03      7.62e-03      5.77e-03    3.4e-04
 314000      5.48e-01      6.03e-03      2.47e-02      1.75e-02    3.4e-04
 316000      2.56e-01      1.82e-03      9.46e-03      1.65e-02    3.4e-04
 318000      4.82e-01      3.72e-02      1.90e-02      2.50e-02    3.4e-04
 320000      1.78e+00      3.21e-02      9.53e-02      2.92e-02    3.3e-04
 322000      2.15e-01      1.73e-03      7.92e-03      1.40e-02    3.3e-04
 324000      2.43e-01      8.79e-04      1.09e-02      1.23e-02    3.3e-04
 326000      2.28e-01      2.67e-03      1.17e-02      7.36e-03    3.3e-04
 328000      1.38e-01      6.54e-03      4.70e-03      9.31e-03    3.3e-04
 330000      2.44e-01      2.51e-03      1.13e-02      1.21e-02    3.2e-04
 332000      1.72e-01      3.71e-03      2.83e-03      1.46e-02    3.2e-04
 334000      1.42e+00      1.49e-02      7.52e-02      3.91e-02    3.2e-04
 336000      2.33e-01      7.06e-04      9.68e-03      1.41e-02    3.2e-04
 338000      2.94e-01      5.60e-04      1.44e-02      1.31e-02    3.1e-04
 340000      2.36e-01      4.87e-03      9.73e-03      1.45e-02    3.1e-04
 342000      1.66e-01      3.85e-03      7.78e-03      8.38e-03    3.1e-04
 344000      3.03e-01      9.52e-04      1.37e-02      1.11e-02    3.1e-04
 346000      1.51e-01      3.00e-03      1.96e-03      1.34e-02    3.1e-04
 348000      1.42e-01      2.83e-03      3.93e-03      1.13e-02    3.0e-04
 350000      2.12e-01      5.42e-03      1.04e-02      9.74e-03    3.0e-04
 352000      2.33e-01      1.77e-05      1.05e-02      1.34e-02    3.0e-04
 354000      2.22e-01      1.76e-04      1.15e-02      1.06e-02    3.0e-04
 356000      1.17e+00      3.49e-03      6.75e-02      1.24e-02    3.0e-04
 358000      1.68e-01      5.65e-04      8.58e-03      1.06e-02    2.9e-04
