#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 256000      1.21e+00      7.69e-03      2.78e-02      8.69e-02    4.2e-04
 258000      9.50e-01      1.56e-02      3.85e-02      4.33e-02    4.1e-04
 260000      1.29e+00      2.40e-02      6.21e-02      1.97e-02    4.1e-04
 262000      1.03e+00      1.81e-02      4.78e-02      3.94e-02    4.1e-04
 264000      1.02e+00      6.70e-02      3.39e-02      8.45e-02    4.1e-04
 266000      5.38e-01      2.08e-02      1.90e-02      3.03e-02    4.0e-04
 268000      5.66e-01      4.61e-03      1.82e-02      3.56e-02    4.0e-04
 270000      1.32e+00      3.52e-03      6.32e-02      3.26e-02    4.0e-04
 272000      7.02e-01      1.60e-02      3.31e-02      1.93e-02    3.9e-04
 274000      1.60e+00      4.88e-02      3.29e-02      1.70e-01    3.9e-04
 276000      2.54e+00      2.26e-02      1.26e-01      5.58e-02    3.9e-04
 278000      1.58e+00      2.32e-02      3.54e-02      1.67e-01    3.9e-04
 280000      1.14e+00      2.27e-02      5.79e-02      6.75e-03    3.8e-04
 282000      9.47e-01      1.46e-03      4.20e-02      4.57e-02    3.8e-04
 284000      9.49e-01      1.53e-02      4.00e-02      4.53e-02    3.8e-04
 286000      1.27e+00      1.05e-02      6.51e-02      1.32e-02    3.8e-04
 288000      1.01e+00      3.99e-04      4.97e-02      2.55e-02    3.7e-04
 290000      7.26e-01      3.07e-03      2.71e-02      4.21e-02    3.7e-04
 292000      7.55e-01      1.28e-04      2.67e-02      4.64e-02    3.7e-04
 294000      1.37e+00      7.23e-02      6.03e-02      6.69e-02    3.7e-04
 296000      1.47e+00      9.44e-03      6.62e-02      6.40e-02    3.6e-04
 298000      1.28e+00      5.74e-02      6.42e-02      2.41e-02    3.6e-04
 300000      1.61e+00      2.25e-02      8.24e-02      3.13e-02    3.6e-04
 302000      1.33e+00      1.19e-02      6.96e-02      1.36e-02    3.6e-04
 304000      1.10e+00      1.24e-02      4.92e-02      5.02e-02    3.5e-04
 306000      2.04e+00      1.72e-02      9.70e-02      9.10e-02    3.5e-04
 308000      7.06e-01      2.71e-02      2.48e-02      4.42e-02    3.5e-04
 310000      5.86e-01      6.15e-03      3.11e-02      8.94e-03    3.5e-04
 312000      1.06e+00      3.28e-02      5.54e-02      2.28e-02    3.4e-04
 314000      4.98e-01      2.29e-02      2.51e-02      1.23e-02    3.4e-04
 316000      1.45e+00      6.67e-02      6.48e-02      9.72e-02    3.4e-04
 318000      8.65e-01      9.75e-03      4.58e-02      1.73e-02    3.4e-04
 320000      9.60e-01      1.21e-02      4.79e-02      3.35e-02    3.3e-04
 322000      1.09e+00      2.73e-02      5.24e-02      6.30e-02    3.3e-04
 324000      1.03e+00      1.31e-02      5.55e-02      1.94e-02    3.3e-04
 326000      1.33e+00      9.81e-03      5.91e-02      9.93e-02    3.3e-04
 328000      6.29e-01      1.72e-02      3.24e-02      1.91e-02    3.3e-04
 330000      9.78e-01      3.70e-02      4.53e-02      6.62e-02    3.2e-04
 332000      1.32e+00      2.19e-02      1.60e-02      1.15e-01    3.2e-04
 334000      6.17e-01      1.05e-02      3.22e-02      1.92e-02    3.2e-04
 336000      1.38e+00      9.78e-03      7.33e-02      3.98e-02    3.2e-04
 338000      7.04e-01      1.70e-02      3.00e-02      4.03e-02    3.1e-04
 340000      1.23e+00      5.95e-03      3.07e-02      9.96e-02    3.1e-04
 342000      8.52e-01      1.66e-02      3.78e-02      4.77e-02    3.1e-04
 344000      5.32e-01      5.81e-03      2.69e-02      2.20e-02    3.1e-04
 346000      6.73e-01      2.62e-02      3.41e-02      3.82e-02    3.1e-04
 348000      1.03e+00      3.07e-02      5.38e-02      3.63e-02    3.0e-04
 350000      3.51e+00      7.38e-02      1.59e-01      2.26e-01    3.0e-04
 352000      1.18e+00      2.09e-02      6.34e-02      4.50e-02    3.0e-04
 354000      1.20e+00      3.21e-02      6.48e-02      3.70e-02    3.0e-04
 356000      1.39e+00      5.14e-02      7.59e-02      5.72e-02    3.0e-04
 358000      1.02e+00      2.49e-03      5.89e-02      9.31e-03    2.9e-04
 360000      9.92e-01      5.07e-03      4.82e-02      5.11e-02    2.9e-04
 362000      5.21e-01      2.95e-03      2.28e-02      3.23e-02    2.9e-04
 364000      1.12e+00      2.49e-02      5.45e-02      6.78e-02    2.9e-04
 366000      5.94e-01      4.21e-05      3.44e-02      1.11e-02    2.9e-04
 368000      9.56e-01      6.62e-02      5.28e-02      3.48e-02    2.8e-04
 370000      8.70e-01      1.87e-02      4.21e-02      6.67e-02    2.8e-04
 372000      1.13e+00      1.40e-02      6.55e-02      2.61e-02    2.8e-04
 374000      1.07e+00      1.52e-02      5.26e-02      5.70e-02    2.8e-04
 376000      1.38e+00      1.52e-02      6.61e-02      7.89e-02    2.8e-04
 378000      7.17e-01      2.19e-02      2.64e-02      5.21e-02    2.7e-04
 380000      1.67e+00      6.92e-03      4.41e-02      1.42e-01    2.7e-04
 382000      5.59e-01      1.91e-02      3.03e-02      3.27e-02    2.7e-04
 384000      6.33e-01      2.73e-03      3.35e-02      2.98e-02    2.7e-04
 386000      4.75e-01      9.19e-02      6.17e-03      4.62e-02    2.7e-04
 388000      5.59e-01      3.40e-02      2.78e-02      4.15e-02    2.7e-04
 390000      3.85e-01      4.29e-02      1.50e-02      2.04e-02    2.6e-04
 392000      5.95e-01      1.88e-02      3.32e-02      2.31e-02    2.6e-04
 394000      5.06e-01      4.75e-03      2.77e-02      3.23e-02    2.6e-04
 396000      8.70e-01      3.77e-02      4.60e-02      6.02e-02    2.6e-04
 398000      1.24e+00      2.68e-02      7.44e-02      3.20e-02    2.6e-04
 400000      8.55e-01      4.29e-03      5.24e-02      1.64e-02    2.5e-04
 402000      1.01e+00      3.26e-03      6.25e-02      1.88e-02    2.5e-04
 404000      1.06e+00      2.84e-02      6.40e-02      2.46e-02    2.5e-04
 406000      7.08e-01      1.87e-02      4.09e-02      2.65e-02    2.5e-04
 408000      8.08e-01      8.14e-03      5.05e-02      1.27e-02    2.5e-04
 410000      1.09e+00      1.94e-02      4.85e-02      7.65e-02    2.5e-04
 412000      8.70e-01      6.95e-03      5.43e-02      1.76e-02    2.4e-04
 414000      1.06e+00      1.30e-01      3.28e-02      1.13e-01    2.4e-04
 416000      1.05e+00      2.46e-02      6.59e-02      1.71e-02    2.4e-04
 418000      1.05e+00      8.63e-03      2.61e-02      9.66e-02    2.4e-04
 420000      8.29e-01      1.17e-02      4.75e-02      3.79e-02    2.4e-04
 422000      1.50e+00      4.05e-02      9.28e-02      6.29e-02    2.4e-04
 424000      8.10e-01      1.86e-02      3.96e-02      5.29e-02    2.3e-04
 426000      8.24e-01      1.25e-03      4.93e-02      3.36e-02    2.3e-04
 428000      9.07e-01      1.57e-02      5.65e-02      2.74e-02    2.3e-04
 430000      1.47e+00      1.22e-02      7.54e-02      9.25e-02    2.3e-04
 432000      5.50e-01      7.32e-03      3.49e-02      2.14e-02    2.3e-04
 434000      9.60e-01      7.62e-04      2.18e-02      9.14e-02    2.3e-04
 436000      8.50e-01      1.14e-03      5.47e-02      2.19e-02    2.3e-04
 438000      9.75e-01      6.12e-03      6.29e-02      2.55e-02    2.2e-04
 440000      4.17e-01      7.30e-02      4.91e-03      4.61e-02    2.2e-04
 442000      8.94e-01      4.04e-02      5.75e-02      1.63e-02    2.2e-04
 444000      7.88e-01      1.44e-02      5.19e-02      1.57e-02    2.2e-04
 446000      9.51e-01      1.11e-02      3.95e-02      7.70e-02    2.2e-04
 448000      1.33e+00      1.36e-02      3.15e-02      1.51e-01    2.2e-04
 450000      4.82e-01      2.14e-02      2.95e-02      1.86e-02    2.1e-04
 452000      9.27e-01      1.03e-03      3.38e-02      1.15e-01    2.1e-04
 454000      5.63e-01      8.43e-04      3.59e-02      2.15e-02    2.1e-04
 456000      2.95e-01      2.41e-02      5.09e-03      2.69e-02    2.1e-04
 458000      1.62e+00      2.78e-02      1.01e-01      9.84e-02    2.1e-04
 460000      5.07e-01      1.52e-02      3.08e-02      2.41e-02    2.1e-04
 462000      8.42e-01      1.05e-02      5.75e-02      1.60e-02    2.1e-04
 464000      1.58e+00      4.82e-02      9.21e-02      1.02e-01    2.0e-04
 466000      9.47e-01      8.61e-03      6.32e-02      2.95e-02    2.0e-04
 468000      1.49e+00      2.38e-02      1.02e-01      2.69e-02    2.0e-04
 470000      7.33e-01      3.05e-02      5.00e-02      1.06e-02    2.0e-04
 472000      5.68e-01      6.60e-02      1.18e-02      4.53e-02    2.0e-04
 474000      6.84e-01      1.42e-02      4.39e-02      3.00e-02    2.0e-04
 476000      7.90e-01      2.46e-02      5.05e-02      3.43e-02    2.0e-04
 478000      1.01e+00      2.99e-02      6.20e-02      5.25e-02    2.0e-04
 480000      2.83e+00      7.18e-02      1.90e-01      1.00e-01    1.9e-04
 482000      5.70e-01      1.69e-02      2.35e-02      5.69e-02    1.9e-04
 484000      5.90e-01      1.63e-02      3.84e-02      2.56e-02    1.9e-04
 486000      8.27e-01      1.14e-02      5.96e-02      6.66e-03    1.9e-04
 488000      7.58e-01      5.37e-03      5.47e-02      1.23e-02    1.9e-04
 490000      6.29e-01      1.95e-02      4.49e-02      8.89e-03    1.9e-04
 492000      7.09e-01      2.98e-02      3.78e-02      7.24e-02    1.9e-04
 494000      8.78e-01      1.42e-03      6.28e-02      2.15e-02    1.8e-04
 496000      8.39e-01      1.73e-02      5.88e-02      2.66e-02    1.8e-04
 498000      7.58e-01      1.82e-02      5.18e-02      4.33e-02    1.8e-04
 500000      4.83e-01      4.99e-03      3.31e-02      2.82e-02    1.8e-04
 502000      6.03e-01      3.05e-03      4.26e-02      2.94e-02    1.8e-04
 504000      8.06e-01      7.16e-03      5.84e-02      2.06e-02    1.8e-04
 506000      2.11e+00      2.25e-02      1.49e-01      8.80e-02    1.8e-04
 508000      6.73e-01      2.75e-03      4.70e-02      2.75e-02    1.8e-04
 510000      7.87e-01      6.73e-03      5.32e-02      3.82e-02    1.7e-04
 512000      1.73e+00      5.28e-02      5.43e-02      1.71e-01    1.7e-04
 514000      1.09e+00      3.06e-03      7.69e-02      6.14e-02    1.7e-04
 516000      5.34e-01      7.15e-03      3.82e-02      2.84e-02    1.7e-04
 518000      6.94e-01      3.78e-03      4.05e-02      4.98e-02    1.7e-04
 520000      4.36e-01      2.00e-02      2.95e-02      1.97e-02    1.7e-04
 522000      9.69e-01      1.09e-03      7.20e-02      3.23e-02    1.7e-04
 524000      2.38e-01      5.86e-02      1.80e-03      1.62e-02    1.7e-04
 526000      6.41e-01      7.38e-03      4.91e-02      1.06e-02    1.7e-04
 528000      7.28e-01      9.07e-03      5.64e-02      1.06e-02    1.6e-04
 530000      5.05e-01      2.75e-03      3.87e-02      1.53e-02    1.6e-04
 532000      8.56e-01      1.58e-03      5.00e-02      7.42e-02    1.6e-04
 534000      4.11e-01      1.65e-03      2.69e-02      2.56e-02    1.6e-04
 536000      3.84e-01      3.86e-03      2.24e-02      2.91e-02    1.6e-04
 538000      6.34e-01      4.12e-03      4.97e-02      1.45e-02    1.6e-04
 540000      6.67e-01      5.47e-03      5.08e-02      2.52e-02    1.6e-04
 542000      6.75e-01      9.12e-03      5.10e-02      2.73e-02    1.6e-04
 544000      2.80e+00      8.52e-02      1.55e-01      2.62e-01    1.6e-04
 546000      6.80e-01      5.51e-03      5.32e-02      1.66e-02    1.5e-04
 548000      9.25e-01      6.65e-03      7.06e-02      3.33e-02    1.5e-04
 550000      2.04e-01      4.36e-03      1.01e-02      1.83e-02    1.5e-04
 552000      8.63e-01      1.13e-02      5.91e-02      6.09e-02    1.5e-04
 554000      7.37e-01      9.90e-03      5.80e-02      2.05e-02    1.5e-04
 556000      1.81e-01      9.45e-03      5.18e-03      1.87e-02    1.5e-04
 558000      6.34e-01      1.19e-02      5.06e-02      1.44e-02    1.5e-04
 560000      6.95e-01      1.00e-02      5.66e-02      1.29e-02    1.5e-04
 562000      4.13e-01      2.29e-02      3.25e-02      2.95e-03    1.5e-04
 564000      2.69e-01      4.30e-02      9.09e-03      1.14e-02    1.5e-04
 566000      5.15e-01      6.29e-03      4.15e-02      1.34e-02    1.4e-04
 568000      5.99e-01      9.86e-04      4.89e-02      1.34e-02    1.4e-04
 570000      4.00e-01      8.05e-03      2.96e-02      3.03e-02    1.4e-04
 572000      4.89e-01      5.18e-04      4.05e-02      1.21e-02    1.4e-04
 574000      5.57e-01      1.27e-02      4.57e-02      1.25e-02    1.4e-04
 576000      5.77e-01      3.44e-04      4.64e-02      2.88e-02    1.4e-04
 578000      8.88e-01      8.73e-03      7.19e-02      2.99e-02    1.4e-04
 580000      4.64e-01      7.37e-03      3.19e-02      4.68e-02    1.4e-04
 582000      8.43e-01      3.51e-05      4.00e-02      8.30e-02    1.4e-04
 584000      7.20e-01      9.06e-03      3.76e-02      6.75e-02    1.4e-04
 586000      3.81e-01      5.82e-03      3.21e-02      7.80e-03    1.3e-04
 588000      6.53e-01      7.52e-03      5.53e-02      1.31e-02    1.3e-04
 590000      4.69e-01      2.07e-02      3.18e-02      3.16e-02    1.3e-04
 592000      6.45e-01      1.45e-02      5.03e-02      3.19e-02    1.3e-04
 594000      1.20e+00      8.91e-03      9.37e-02      7.35e-02    1.3e-04
 596000      6.26e-01      7.90e-03      5.22e-02      2.52e-02    1.3e-04
 598000      3.20e-01      1.16e-02      2.40e-02      1.82e-02    1.3e-04
 600000      8.13e-01      7.98e-03      6.75e-02      3.16e-02    1.3e-04
 602000      6.59e-01      3.09e-04      5.61e-02      2.95e-02    1.3e-04
 604000      8.66e-01      5.60e-03      7.46e-02      2.75e-02    1.3e-04
 606000      1.33e+00      2.29e-02      9.39e-02      9.64e-02    1.3e-04
 608000      8.54e-01      1.14e-03      7.42e-02      2.66e-02    1.3e-04
 610000      7.64e-01      1.79e-03      6.72e-02      1.62e-02    1.2e-04
 612000      6.89e-01      1.70e-02      5.10e-02      5.36e-02    1.2e-04
 614000      6.90e-01      1.33e-02      5.99e-02      2.06e-02    1.2e-04
